month,date,ticker,type,ret_z,volz,why
1966-09,1966-09-07,KO,,-2.1195305031386646,-0.3496057469250566,range_pct>95%
1966-09,1966-09-12,KO,spike,4.33733745280337,-0.1385926955329727,|ret_z|>2.5; ; range_pct>95%
1966-09,1966-09-13,DIS,spike,2.8067601762871583,1.1313730836474907,|ret_z|>2.5; ; range_pct>95%
1966-09,1966-09-15,IBM,spike,2.515260220035595,-0.5630142470279266,|ret_z|>2.5; ; range_pct>95%
1966-09,1966-09-16,KO,,-1.3241863048680236,-0.6675865553837278,range_pct>95%
1966-09,1966-09-28,KO,,-0.6978418452775522,1.2501625428235377,range_pct>95%
1966-10,1966-10-06,KO,,-1.5610676600576676,1.0565555137073581,range_pct>95%
1966-10,1966-10-07,DIS,,-1.9449069208537977,1.0284687124947194,range_pct>95%
1966-10,1966-10-07,IBM,,-2.4691165465008353,2.1015643956811663,range_pct>95%
1966-10,1966-10-10,IBM,spike,3.4127224198904784,1.7208163522542401,|ret_z|>2.5; ; range_pct>95%
1966-10,1966-10-12,DIS,spike,2.515184739352004,1.0015869574649623,|ret_z|>2.5; ; range_pct>95%
1966-10,1966-10-12,IBM,,1.5979943429017307,0.39159436421555527,range_pct>95%
1966-10,1966-10-18,KO,spike,3.561154982601919,1.4125983082698497,|ret_z|>2.5; ; range_pct>95%
1966-10,1966-10-26,DIS,,2.3804593552410247,2.412716463000936,range_pct>95%
1966-10,1966-10-27,DIS,volume_shock,1.5370456472455012,2.6335135313570235,volz>2.5; range_pct>95%
1966-11,1966-11-09,DIS,,1.9314320236288176,1.8850052860926785,range_pct>95%
1966-11,1966-11-11,DIS,spike,2.529727648602745,1.9926294097604873,|ret_z|>2.5; ; range_pct>95%
1966-11,1966-11-14,DIS,,1.5957121234760157,2.0099721893674256,range_pct>95%
1966-11,1966-11-15,DIS,,1.802740039689709,1.674795527401369,range_pct>95%
1966-11,1966-11-16,DIS,,-1.399922395090314,1.610237843785455,range_pct>95%
1966-11,1966-11-21,KO,,-2.132299366174777,-0.6041803280730912,range_pct>95%
1966-12,1966-12-05,DIS,,0.9710375715448186,1.4171487052326195,range_pct>95%
1966-12,1966-12-15,DIS,,0.3210910982252872,1.9645148902262697,range_pct>95%
1966-12,1966-12-16,DIS,spike + volume_shock,4.275262225949725,3.0107685723051607,|ret_z|>2.5; volz>2.5; range_pct>95%
1967-01,1967-01-11,KO,spike,2.9082073025965083,-1.0692928251585636,|ret_z|>2.5; ; range_pct>95%
1967-01,1967-01-16,IBM,crash,-2.6730704992124585,1.120228535703575,|ret_z|>2.5; ; range_pct>95%
1967-01,1967-01-19,DIS,,1.1415394170749662,1.2794474898952628,range_pct>95%
1967-01,1967-01-31,KO,volume_shock,-0.09430792908158442,2.544218813816632,volz>2.5
1967-02,1967-02-08,IBM,,2.175069885743028,-0.18804182085409799,range_pct>95%
1967-02,1967-02-23,KO,,1.6047018915341684,1.5678626012062662,range_pct>95%
1967-02,1967-02-28,IBM,spike,2.535251520924854,0.2496893616445162,|ret_z|>2.5; ; range_pct>95%
1967-03,1967-03-03,KO,crash,-2.8287729830796726,0.46294974028158636,|ret_z|>2.5; ; range_pct>95%
1967-03,1967-03-08,KO,,-0.7247435725976008,0.04194553287989312,range_pct>95%
